fwd_std_ms,fwd_idx_ms,fwd_speedup,step_std_ms,step_idx_ms,step_speedup,flops_std,flops_idx,flop_ratio,tflops_std,tflops_idx,idx_faster_fwd,idx_faster_step,active_kb,B,d_std,d_idx,K,seq,h_dn,N,params_std,params_idx,backend,ppl_std,ppl_idx,ppl_ratio,val_mse_std,val_mse_idx,pareto_win
0.14545000158250332,0.22585003171116114,0.6440114286480103,0.7851499831303954,0.8606500341556966,0.9122755498413856,8192,256,32.0,0.002703444453226471,5.4407785143528706e-05,False,False,1.0,1,32,16,4,48,8,48,4224,528,triton,1.0945915251014189,1.5693439966787144,1.433725696472305,0.09038125723600388,0.4506576955318451,False
0.18334999913349748,0.27975000557489693,0.6554065968889125,0.9305500134360045,0.9561999759171158,0.9731751065392887,8192,32,256.0,0.0021446195901735385,5.490616512566144e-06,False,False,0.125,1,32,8,8,48,2,48,4224,136,triton,1.1807583867996374,1.138378629537862,0.9641080192734072,0.16615693271160126,0.1296049952507019,False
0.1751500240061432,0.2691499830689281,0.6507524986961938,0.9082500182557851,0.9777999948710203,0.9288709582940738,8192,32,256.0,0.0022450239572117236,5.706855272610726e-06,False,False,0.125,1,32,8,16,48,2,48,4224,264,triton,1.1618503851826318,1.044814858185562,0.8992679879529645,0.15001389384269714,0.043839700520038605,False
0.135450012749061,0.18744997214525938,0.7225928667735282,0.804400013294071,0.8690500108059496,0.9256084267786583,32768,1024,32.0,0.01161213622706657,0.00026221396267752425,False,False,4.0,1,64,32,4,48,16,48,16640,2080,triton,1.0622319779778076,1.595694631572028,1.5022091827905464,0.060372333973646164,0.4673091471195221,False
0.10639999527484179,0.32315001590177417,0.32925882729086264,0.9464500180911273,0.8590499928686768,1.101740324716831,32768,240,136.53333333333333,0.014782557047461663,3.5649077620660425e-05,False,True,0.9375,1,64,20,8,48,6,48,16640,980,triton,1.0831114363154553,1.1404092158057233,1.052901093617093,0.0798378586769104,0.1313871592283249,False
0.15549999079667032,0.19355001859366894,0.8034098468526665,0.8655999845359474,0.9207000257447362,0.9401541873921211,32768,128,256.0,0.01011488162759222,3.174373241936217e-05,False,False,0.5,1,64,16,16,48,4,48,16640,1040,triton,1.0805972804610262,1.0379007233996607,0.9604880024840063,0.0775139257311821,0.037200137972831726,False
0.17874996410682797,0.2413999754935503,0.7404721717198509,0.8695999858900905,0.9664999961387366,0.8997413237084622,131072,4096,32.0,0.03519696371094083,0.0008144491299057855,False,False,16.0,1,128,64,4,48,32,48,66048,8256,triton,1.0288309125070974,1.9301013371973892,1.8760141377304063,0.028423121199011803,0.6575725078582764,False
0.15234999591484666,0.3454000107012689,0.44108277705472276,0.850099982926622,0.9494499827269465,0.8953604701587565,131072,1232,106.3896103896104,0.04129606937118986,0.0001712101857783259,False,False,4.8125,1,128,44,8,48,14,48,66048,4972,triton,1.045034668236703,1.1732285259440955,1.122669478442945,0.04405006021261215,0.15975937247276306,False
0.21649998961947858,0.3279999946244061,0.6600609547795677,0.9500999876763672,0.8990000060293823,1.056840913575383,131072,512,256.0,0.0290598443494519,7.492683049626894e-05,False,True,2.0,1,128,32,16,48,8,48,66048,4128,triton,1.0588628841316297,1.039781597465361,0.9819794546090667,0.05719558149576187,0.03901068866252899,False
0.20445004338398576,0.2320499625056982,0.881060445674346,0.8913999772630632,1.0796999849844724,0.8255996940445293,524288,16384,32.0,0.12309033338151494,0.0033890632496037937,False,False,64.0,1,256,128,4,48,64,48,263168,32896,triton,1.014536658283101,2.349517713312724,2.3158529503397243,0.014432013966143131,0.8542100787162781,False
0.139450014103204,0.25645000278018415,0.5437707646380235,0.9021000296343118,0.926549982978031,0.9736118355265255,524288,5104,102.72100313479623,0.18046483653544348,0.0009553207149309124,False,False,19.9375,1,256,88,8,48,29,48,263168,20504,triton,1.022966528575464,1.2247228181736447,1.1972266774741271,0.022706767544150352,0.20271454751491547,False
0.13000002945773304,0.19475002773106098,0.6675225209069335,0.7820999890100211,0.8763499790802598,0.8924516547953191,524288,2048,256.0,0.19358321767290196,0.0005047701463526998,False,False,8.0,1,256,64,16,48,16,48,263168,16448,triton,1.0300622596957234,1.0518951551460407,1.0211957046720328,0.0296192467212677,0.05059344694018364,False
0.18670002464205027,0.23730003158561885,0.7867678035882946,0.8565500029362738,0.8650500094518065,0.9901739709581423,8192,256,32.0,0.016849103293002408,0.0004142603746958689,False,False,1.0,8,32,16,4,48,8,384,4224,528,triton,1.0945915251014189,1.5693439966787144,1.433725696472305,0.09038125723600388,0.4506576955318451,False
0.11125000310130417,0.24684995878487825,0.45067863753728615,0.7798000006005168,0.871250027557835,0.8950358403848112,8192,32,256.0,0.02827620595332031,4.977922646002382e-05,False,False,0.125,8,32,8,8,48,2,384,4224,136,triton,1.1807583867996374,1.138378629537862,0.9641080192734072,0.16615693271160126,0.1296049952507019,False
0.10450000991113484,0.19040002371184528,0.5488445215179542,0.8519499679096043,0.9390499908477068,0.9072466601490781,8192,32,256.0,0.030102657432043094,6.453780708870538e-05,False,False,0.125,8,32,8,16,48,2,384,4224,264,triton,1.1618503851826318,1.044814858185562,0.8992679879529645,0.15001389384269714,0.043839700520038605,False
0.1152500044554472,0.23614999372512102,0.4880372962855057,0.7694000087212771,0.9227000118698925,0.8338571570645739,32768,1024,32.0,0.109179275605705,0.0016651112024068232,False,False,4.0,8,64,32,4,48,16,384,16640,2080,triton,1.0622319779778076,1.595694631572028,1.5022091827905464,0.060372333973646164,0.4673091471195221,False
0.13054997543804348,0.31114998273551464,0.41957249777196437,0.8060499967541546,0.9530000097583979,0.8458027161599948,32768,240,136.53333333333333,0.09638387106377978,0.0002961915639196366,False,False,0.9375,8,64,20,8,48,6,384,16640,980,triton,1.0831114363154553,1.1404092158057233,1.052901093617093,0.0798378586769104,0.1313871592283249,False
0.16930000856518745,0.19540000357665122,0.8664278683023396,0.8372000302188098,0.8808499842416495,0.9504456436354265,32768,128,256.0,0.07432316221741396,0.0002515455429903241,False,False,0.5,8,64,16,16,48,4,384,16640,1040,triton,1.0805972804610262,1.0379007233996607,0.9604880024840063,0.0775139257311821,0.037200137972831726,False
0.09079999290406704,0.1812000118661672,0.5011036807830408,0.7680500275455415,0.7895499875303358,0.9727693492187305,131072,4096,32.0,0.5543133472838144,0.00868026433222148,False,False,16.0,8,128,64,4,48,32,384,66048,8256,triton,1.0288309125070974,1.9301013371973892,1.8760141377304063,0.028423121199011803,0.6575725078582764,False
0.11150003410875797,0.21550001110881567,0.5174015237171221,0.7951000006869435,0.9046999912243336,0.8788548783016257,131072,1232,106.3896103896104,0.45140477670980916,0.0021953038311497653,False,False,4.8125,8,128,44,8,48,14,384,66048,4972,triton,1.045034668236703,1.1732285259440955,1.122669478442945,0.04405006021261215,0.15975937247276306,False
0.1724500034470111,0.26539998361840844,0.6497739792439452,0.8908499730750918,0.9094499691855162,0.9795480820928697,131072,512,256.0,0.29186226148998284,0.0007407988399979805,False,False,2.0,8,128,32,16,48,8,384,66048,4128,triton,1.0588628841316297,1.039781597465361,0.9819794546090667,0.05719558149576187,0.03901068866252899,False
0.10995002230629325,0.22709998302161694,0.4841480868619327,0.8601000008638948,0.9193999867420644,0.9355014283953802,524288,16384,32.0,1.831073680359559,0.02770346310154121,False,False,64.0,8,256,128,4,48,64,384,263168,32896,triton,1.014536658283101,2.349517713312724,2.3158529503397243,0.014432013966143131,0.8542100787162781,False
0.11434999760240316,0.22540002828463912,0.5073202451332436,0.7820000173524022,0.9341000113636255,0.8371694763292172,524288,5104,102.72100313479623,1.760617369665506,0.008695367143099727,False,False,19.9375,8,256,88,8,48,29,384,263168,20504,triton,1.022966528575464,1.2247228181736447,1.1972266774741271,0.022706767544150352,0.20271454751491547,False
0.1453000004403293,0.2547000185586512,0.5704750288695808,0.818600005004555,0.907899986486882,0.9016411688385709,524288,2048,256.0,1.385592507845031,0.0030876793981030035,False,False,8.0,8,256,64,16,48,16,384,263168,16448,triton,1.0300622596957234,1.0518951551460407,1.0211957046720328,0.0296192467212677,0.05059344694018364,False
0.13775000115856528,0.24005002342164516,0.5738387324237372,0.777649984229356,0.8882499823812395,0.8754855048177038,8192,256,32.0,0.09134600286148598,0.0016380585779378182,False,False,1.0,32,32,16,4,48,8,1536,4224,528,triton,1.0945915251014189,1.5693439966787144,1.433725696472305,0.09038125723600388,0.4506576955318451,False
0.1647000026423484,0.24759996449574828,0.6651858895770423,0.8449000015389174,0.8844999829307199,0.9552289630796927,8192,32,256.0,0.07639897873787056,0.00019851376029112486,False,False,0.125,32,32,8,8,48,2,1536,4224,136,triton,1.1807583867996374,1.138378629537862,0.9641080192734072,0.16615693271160126,0.1296049952507019,False
0.09374998626299202,0.28585002291947603,0.327969140269761,0.828799995360896,0.8358500199392438,0.9915654430697265,8192,32,256.0,0.13421774766666955,0.00017195030980930208,False,False,0.125,32,32,8,16,48,2,1536,4224,264,triton,1.1618503851826318,1.044814858185562,0.8992679879529645,0.15001389384269714,0.043839700520038605,False
0.18679999629966915,0.23534998763352633,0.7937115195032155,0.7616500079166144,0.8378500060644001,0.9090529359715387,32768,1024,32.0,0.2694413757870569,0.006683085118530682,False,False,4.0,32,64,32,4,48,16,1536,16640,2080,triton,1.0622319779778076,1.595694631572028,1.5022091827905464,0.060372333973646164,0.4673091471195221,False
0.09154999861493707,0.2758000046014786,0.3319434267132215,0.8007500146050006,0.857200036989525,0.9341460336577025,32768,240,136.53333333333333,0.5497722420695702,0.001336620717366093,False,False,0.9375,32,64,20,8,48,6,1536,16640,980,triton,1.0831114363154553,1.1404092158057233,1.052901093617093,0.0798378586769104,0.1313871592283249,False
0.093149981694296,0.22270000772550702,0.4182756105204528,0.9180000051856041,0.9802500135265291,0.9364957842571453,32768,128,256.0,0.5403291238980678,0.0008828378678923658,False,False,0.5,32,64,16,16,48,4,1536,16640,1040,triton,1.0805972804610262,1.0379007233996607,0.9604880024840063,0.0775139257311821,0.037200137972831726,False
0.1430500124115497,0.2549499913584441,0.5610904775847987,0.9086500213015825,1.0589499725028872,0.8580669955105976,131072,4096,32.0,1.407386050556855,0.024677215976660293,False,False,16.0,32,128,64,4,48,32,1536,66048,8256,triton,1.0288309125070974,1.9301013371973892,1.8760141377304063,0.028423121199011803,0.6575725078582764,False
0.17585000023245811,0.2542000147514045,0.691778088228795,0.9102500043809414,1.033150008879602,0.881043407595825,131072,1232,106.3896103896104,1.1448768367009616,0.0074443426049783275,False,False,4.8125,32,128,44,8,48,14,1536,66048,4972,triton,1.045034668236703,1.1732285259440955,1.122669478442945,0.04405006021261215,0.15975937247276306,False
0.11245001223869622,0.24915000540204346,0.451334576763264,0.9157999884337187,1.0159999947063625,0.9013779460681957,131072,512,256.0,1.7903652297755788,0.003156459895439159,False,False,2.0,32,128,32,16,48,8,1536,66048,4128,triton,1.0588628841316297,1.039781597465361,0.9819794546090667,0.05719558149576187,0.03901068866252899,False
0.2243999915663153,0.24485000176355243,0.9164794361856474,0.895350007340312,1.5378500102087855,0.5822089289570933,524288,16384,32.0,3.588709439688253,0.10278057512248752,False,False,64.0,32,256,128,4,48,64,1536,263168,32896,triton,1.014536658283101,2.349517713312724,2.3158529503397243,0.014432013966143131,0.8542100787162781,False
0.25680000544525683,0.2554499951656908,1.0052848318853576,0.8767999825067818,1.0631000332068652,0.8247577416227662,524288,5104,102.72100313479623,3.1359281578039946,0.030689935988900532,True,False,19.9375,32,256,88,8,48,29,1536,263168,20504,triton,1.022966528575464,1.2247228181736447,1.1972266774741271,0.022706767544150352,0.20271454751491547,False
0.22449999232776463,0.2604000037536025,0.8621351347605685,0.9198499610647559,0.971200002823025,0.9471272223959968,524288,2048,256.0,3.587110893190018,0.012080368489458903,False,False,8.0,32,256,64,16,48,16,1536,263168,16448,triton,1.0300622596957234,1.0518951551460407,1.0211957046720328,0.0296192467212677,0.05059344694018364,False
0.13610001769848168,0.26285002240911126,0.5177858325864994,0.8998999837785959,0.9463999886065722,0.9508664355581403,8192,256,32.0,0.36981367711138435,0.005983883834531031,False,False,1.0,128,32,16,4,48,8,6144,4224,528,triton,1.0945915251014189,1.5693439966787144,1.433725696472305,0.09038125723600388,0.4506576955318451,False
0.12474998948164284,0.23529998725280166,0.5301742296637437,0.8940999978221953,0.967350002611056,0.9242776610418717,8192,32,256.0,0.40346013822635535,0.0008355631561882248,False,False,0.125,128,32,8,8,48,2,6144,4224,136,triton,1.1807583867996374,1.138378629537862,0.9641080192734072,0.16615693271160126,0.1296049952507019,False
0.13669999316334724,0.3200000210199505,0.4271874505746506,0.8436999924015254,1.0532500164117664,0.8010443667267717,8192,32,256.0,0.3681905670606515,0.0006143999596416977,False,False,0.125,128,32,8,16,48,2,6144,4224,264,triton,1.1618503851826318,1.044814858185562,0.8992679879529645,0.15001389384269714,0.043839700520038605,False
0.15454998356290162,0.2801000082399696,0.5517671510758909,0.961900019319728,1.5516999992541969,0.6199007667603609,32768,1024,32.0,1.3026633025687795,0.022461463102171463,False,False,4.0,128,64,32,4,48,16,6144,16640,2080,triton,1.0622319779778076,1.595694631572028,1.5022091827905464,0.060372333973646164,0.4673091471195221,False
0.17030001617968082,0.37990001146681607,0.4482758911276221,0.9304000122938305,1.0001500195357949,0.9302604550521952,32768,240,136.53333333333333,1.1821877444073965,0.0038814423677078556,False,False,0.9375,128,64,20,8,48,6,6144,16640,980,triton,1.0831114363154553,1.1404092158057233,1.052901093617093,0.0798378586769104,0.1313871592283249,False
0.15315000200644135,0.2393500180914998,0.6398579086294218,0.854949961649254,0.8132500224746764,1.05127566925567,32768,128,256.0,1.3145712658334303,0.0032856985191426187,False,True,0.5,128,64,16,16,48,4,6144,16640,1040,triton,1.0805972804610262,1.0379007233996607,0.9604880024840063,0.0775139257311821,0.037200137972831726,False
0.24240001221187413,0.36654999712482095,0.6613013616511634,0.8632999961264431,2.622900006826967,0.32913949974433593,131072,4096,32.0,3.322220822728785,0.0686559110555123,False,False,16.0,128,128,64,4,48,32,6144,66048,8256,triton,1.0288309125070974,1.9301013371973892,1.8760141377304063,0.028423121199011803,0.6575725078582764,False
0.2843000111170113,0.25654997443780303,1.1081662032515067,0.9647500119172037,1.3498000334948301,0.7147355074657425,131072,1232,106.3896103896104,2.8325935156877446,0.02950461412669171,True,False,4.8125,128,128,44,8,48,14,6144,66048,4972,triton,1.045034668236703,1.1732285259440955,1.122669478442945,0.04405006021261215,0.15975937247276306,False
0.23735000286251307,0.31609999132342637,0.7508700075213286,0.8841499802656472,1.0453500144649297,0.8457932443978642,131072,512,256.0,3.3929065021603573,0.009951686448423095,False,False,2.0,128,128,32,16,48,8,6144,66048,4128,triton,1.0588628841316297,1.039781597465361,0.9819794546090667,0.05719558149576187,0.03901068866252899,False
0.6574500002898276,0.6521999894175678,1.0080496948136233,1.8501000013202429,5.2203499944880605,0.3544015254290771,524288,16384,32.0,4.899574827865188,0.15434421593581293,True,False,64.0,128,256,128,4,48,64,6144,263168,32896,triton,1.014536658283101,2.349517713312724,2.3158529503397243,0.014432013966143131,0.8542100787162781,False
0.7566999702248722,0.4557000065688044,1.6605221841501576,1.986349991057068,2.025950001552701,0.9804536091881423,524288,5104,102.72100313479623,4.256938811617414,0.06881495621673912,True,False,19.9375,128,256,88,8,48,29,6144,263168,20504,triton,1.022966528575464,1.2247228181736447,1.1972266774741271,0.022706767544150352,0.20271454751491547,False
0.7153000042308122,0.30465004965662956,2.347939890497393,1.925250020576641,1.392649981426075,1.3824363955436834,524288,2048,256.0,4.5033209184220535,0.041302839156541,True,True,8.0,128,256,64,16,48,16,6144,263168,16448,triton,1.0300622596957234,1.0518951551460407,1.0211957046720328,0.0296192467212677,0.05059344694018364,False
